title,angajator,domeniu,tip_job,nivel_job,orase,actualizat_la,remote_work
IT Recruiter,SBP Romania,['IT Software'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
IT Team Lead,Electromontaj,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
"Bosch Video Systems Sales Engineer (Romania, Bulgaria)",Bosch Romania,['Sales '],full-time,Manager,['BUCHAREST'],09.04.2024,  On-site
SAP S/4 HANA Authorization Consultant - German,Bosch Timisoara,['Management - Consulting'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
"IT Infrastructure Engineer, CljP",Bosch Romania,['IT Software'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
Field Engineer Industrial Service,Bosch Romania,['Engineering'],full-time,Manager,['BUCHAREST'],09.04.2024,  On-site
"Automation Engineer (PLC), Engineering Center, Cluj",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
"Supplier Quality Engineer for Mechanical Components, CljP",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
"INGINER MENTENANTA (cunoscator NI LabView , SPEA Leonardo )",ARTEM HOMINE ,"['Inginerie', 'IT Hardware', 'Productie']",full-time ,1 - 5 ani experienta,"['Ilfov', ' Otopeni', ' Ploiesti']",09.04.2024,  On-site
"Software Support Supervizor (on-site, Sibiu)",Working4U Exclusive,"['Customer support - Client service', 'IT Software']",full-time ,1 - 5 ani experienta,['Sibiu'],09.04.2024,  On-site
IT Business Analyst (Wealth & Distribution Technology),MassMutual Romania,"['Acquisitions - Logistics - Supplies', 'IT Software', 'Management - Consulting']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Oradea']",09.04.2024,  Hybrid 
